isogroup36539	A0A0P6JG37	GO:0005615; GO:0005764; GO:0005634; GO:0102121; GO:0017040; GO:0071356; GO:0046513; GO:0046514; GO:0030216; GO:0062098; GO:0050810; GO:0046512
isogroup51176	A0A0P6JG37	GO:0005615; GO:0005764; GO:0005634; GO:0102121; GO:0017040; GO:0071356; GO:0046513; GO:0046514; GO:0030216; GO:0062098; GO:0050810; GO:0046512
isogroup43979	A0A0R4IBK5	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
isogroup25346	A0A0R4IFG5	GO:0005930; GO:0097546; GO:0005576; GO:0060271; GO:0003341; GO:0007368; GO:0060287
isogroup54440	A0A140JWS7	GO:0050660; GO:0004499; GO:0050661
isogroup7375	A0A140LI88	GO:0000785; GO:0005634; GO:0010780; GO:1903343; GO:0007129
isogroup64010	A0A140N890	GO:0047689; GO:0008881; GO:0042802; GO:0006807
isogroup70978	A0A159BP93	GO:0051213; GO:0046872
isogroup27171	A0A168WVR6	GO:0003875; GO:0046872
isogroup6715	A0A168WVR6	GO:0003875; GO:0046872
isogroup40750	A0A179HKZ8	noMatch
isogroup29380	A0A1B0GV03	noMatch
isogroup39740	A0A1B0GV03	noMatch
isogroup53077	A0A1B0GV03	noMatch
isogroup104933	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup11408	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup66939	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup90491	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup15729	A0A1B8YAB1	GO:0031463; GO:0005794; GO:0005819; GO:0014032; GO:0014029; GO:0006513; GO:0006417
isogroup42917	A0A1C3NSL9	GO:0043296; GO:0016324; GO:0016327; GO:0005913; GO:0005911; GO:0036064; GO:0044292; GO:0008092; GO:0046872; GO:0045216; GO:0009792
isogroup33585	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup65491	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup6600	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup44909	A0A1L8HCK2	GO:0005929; GO:0005737; GO:0005856; GO:0003352
isogroup90088	A0A1L8HCK2	GO:0005929; GO:0005737; GO:0005856; GO:0003352
isogroup14041	A0A1L9U7P9	GO:0016874; GO:0031177
isogroup53097	A0A1P8AUY4	GO:0009941; GO:0005730; GO:0005654; GO:0009506; GO:0005524; GO:0016887; GO:0009738; GO:0009553; GO:0048638; GO:0000027; GO:0006364
isogroup62309	A0A1P8AUY4	GO:0009941; GO:0005730; GO:0005654; GO:0009506; GO:0005524; GO:0016887; GO:0009738; GO:0009553; GO:0048638; GO:0000027; GO:0006364
isogroup25082	A0A1P8B554	GO:0006952; GO:0009617; GO:0009723
isogroup8332	A0A1P8B554	GO:0006952; GO:0009617; GO:0009723
isogroup57187	A0A286M9N3	GO:0034045; GO:0005774; GO:0000045; GO:0000422; GO:0015031
isogroup18254	A0A286YEV6	GO:0005882
