comp464_c0_seq1	isogroup464
comp467_c0_seq1	isogroup467
comp468_c0_seq1	isogroup468
comp470_c0_seq1	isogroup470
comp471_c0_seq1	isogroup471
comp473_c0_seq1	isogroup473
comp474_c0_seq1	isogroup474
comp475_c0_seq1	isogroup475
comp476_c0_seq1	isogroup476
comp477_c0_seq1	isogroup477
comp479_c0_seq1	isogroup479
comp481_c0_seq1	isogroup481
comp482_c0_seq1	isogroup482
comp483_c0_seq1	isogroup483
comp494_c0_seq1	isogroup494
comp496_c0_seq1	isogroup496
comp498_c0_seq1	isogroup498
comp500_c0_seq1	isogroup500
comp504_c0_seq1	isogroup504
comp506_c0_seq1	isogroup506
comp508_c0_seq1	isogroup508
comp510_c0_seq1	isogroup510
comp515_c0_seq1	isogroup515
comp520_c0_seq1	isogroup520
comp525_c0_seq1	isogroup525
comp526_c0_seq1	isogroup526
comp527_c0_seq1	isogroup527
comp529_c0_seq1	isogroup529
comp530_c0_seq1	isogroup530
comp533_c0_seq1	isogroup533
comp535_c0_seq1	isogroup535
comp536_c0_seq1	isogroup536
comp537_c0_seq2	isogroup537
comp538_c0_seq1	isogroup538
comp539_c0_seq2	isogroup539
comp540_c0_seq1	isogroup540
comp541_c0_seq1	isogroup541
comp542_c0_seq1	isogroup542
comp544_c0_seq1	isogroup544
comp545_c0_seq1	isogroup545
comp551_c0_seq1	isogroup551
comp552_c0_seq1	isogroup552
comp553_c0_seq1	isogroup553
comp555_c0_seq1	isogroup555
comp557_c0_seq1	isogroup557
comp559_c0_seq1	isogroup559
comp561_c0_seq1	isogroup561
comp562_c0_seq1	isogroup562
comp564_c0_seq1	isogroup564
comp567_c0_seq1	isogroup567
comp568_c0_seq1	isogroup568
comp570_c0_seq2	isogroup570
comp571_c0_seq1	isogroup571
comp576_c0_seq1	isogroup576
comp578_c0_seq1	isogroup578
comp579_c0_seq1	isogroup579
comp580_c0_seq1	isogroup580
comp582_c0_seq1	isogroup582
comp585_c0_seq1	isogroup585
comp591_c0_seq1	isogroup591
comp598_c0_seq1	isogroup598
comp599_c0_seq1	isogroup599
comp601_c0_seq1	isogroup601
comp603_c0_seq1	isogroup603
comp605_c0_seq1	isogroup605
comp606_c0_seq1	isogroup606
comp608_c0_seq1	isogroup608
comp609_c0_seq1	isogroup609
comp611_c0_seq1	isogroup611
comp612_c0_seq1	isogroup612
comp613_c0_seq1	isogroup613
comp614_c0_seq2	isogroup614
comp616_c0_seq1	isogroup616
comp618_c0_seq1	isogroup618
comp620_c0_seq1	isogroup620
comp622_c0_seq1	isogroup622
comp624_c0_seq1	isogroup624
comp627_c0_seq1	isogroup627
comp629_c0_seq1	isogroup629
comp630_c0_seq1	isogroup630
comp631_c0_seq1	isogroup631
comp635_c0_seq1	isogroup635
comp637_c0_seq1	isogroup637
comp638_c0_seq1	isogroup638
comp641_c0_seq1	isogroup641
comp642_c0_seq1	isogroup642
comp643_c0_seq1	isogroup643
comp648_c0_seq1	isogroup648
comp649_c0_seq1	isogroup649
comp650_c0_seq1	isogroup650
comp651_c0_seq1	isogroup651
comp652_c0_seq1	isogroup652
comp654_c0_seq1	isogroup654
comp658_c0_seq1	isogroup658
comp667_c0_seq1	isogroup667
comp668_c0_seq1	isogroup668
comp671_c0_seq1	isogroup671
comp674_c0_seq1	isogroup674
comp675_c0_seq1	isogroup675
comp676_c0_seq1	isogroup676
comp678_c0_seq1	isogroup678
comp682_c0_seq1	isogroup682
comp686_c0_seq1	isogroup686
comp691_c0_seq1	isogroup691
comp692_c0_seq1	isogroup692
comp693_c0_seq1	isogroup693
comp694_c0_seq1	isogroup694
comp696_c0_seq1	isogroup696
comp697_c0_seq1	isogroup697
comp698_c0_seq1	isogroup698
comp702_c0_seq1	isogroup702
comp703_c0_seq1	isogroup703
comp706_c0_seq1	isogroup706
comp707_c0_seq1	isogroup707
comp710_c0_seq1	isogroup710
comp711_c0_seq1	isogroup711
comp712_c0_seq1	isogroup712
comp713_c0_seq1	isogroup713
comp714_c0_seq1	isogroup714
comp715_c0_seq1	isogroup715
comp717_c0_seq1	isogroup717
comp721_c0_seq1	isogroup721
comp722_c0_seq1	isogroup722
comp725_c0_seq1	isogroup725
comp729_c0_seq1	isogroup729
comp730_c0_seq1	isogroup730
comp731_c0_seq1	isogroup731
comp734_c0_seq1	isogroup734
comp735_c0_seq1	isogroup735
comp736_c0_seq1	isogroup736
comp737_c0_seq1	isogroup737
comp740_c0_seq1	isogroup740
comp745_c0_seq1	isogroup745
comp746_c0_seq1	isogroup746
comp750_c0_seq1	isogroup750
comp751_c0_seq1	isogroup751
comp758_c0_seq2	isogroup758
comp759_c0_seq1	isogroup759
comp763_c0_seq1	isogroup763
comp764_c0_seq1	isogroup764
comp768_c0_seq1	isogroup768
comp769_c0_seq1	isogroup769
comp770_c0_seq2	isogroup770
comp772_c0_seq1	isogroup772
comp773_c0_seq1	isogroup773
comp774_c0_seq1	isogroup774
comp776_c0_seq1	isogroup776
comp777_c0_seq1	isogroup777
comp778_c0_seq1	isogroup778
comp780_c0_seq1	isogroup780
comp781_c0_seq1	isogroup781
comp783_c0_seq1	isogroup783
comp785_c0_seq1	isogroup785
comp786_c0_seq1	isogroup786
comp787_c0_seq1	isogroup787
comp790_c0_seq1	isogroup790
comp791_c0_seq1	isogroup791
comp792_c0_seq1	isogroup792
comp793_c0_seq1	isogroup793
comp795_c0_seq1	isogroup795
comp796_c0_seq1	isogroup796
comp802_c0_seq1	isogroup802
comp803_c0_seq1	isogroup803
comp807_c0_seq1	isogroup807
comp808_c0_seq1	isogroup808
comp812_c0_seq1	isogroup812
comp815_c0_seq1	isogroup815
comp818_c0_seq1	isogroup818
comp819_c0_seq1	isogroup819
comp823_c0_seq1	isogroup823
comp829_c0_seq1	isogroup829
comp833_c0_seq1	isogroup833
comp836_c0_seq1	isogroup836
comp842_c0_seq1	isogroup842
comp844_c0_seq2	isogroup844
comp845_c0_seq1	isogroup845
comp846_c0_seq1	isogroup846
comp847_c0_seq2	isogroup847
comp848_c0_seq1	isogroup848
comp853_c0_seq1	isogroup853
comp855_c0_seq1	isogroup855
comp860_c0_seq1	isogroup860
comp861_c0_seq1	isogroup861
comp864_c0_seq1	isogroup864
comp866_c0_seq1	isogroup866
comp867_c0_seq1	isogroup867
comp871_c0_seq1	isogroup871
comp872_c0_seq1	isogroup872
comp873_c0_seq1	isogroup873
comp874_c0_seq1	isogroup874
comp876_c0_seq1	isogroup876
comp877_c0_seq1	isogroup877
comp879_c0_seq1	isogroup879
comp886_c0_seq1	isogroup886
comp887_c0_seq1	isogroup887
comp891_c0_seq1	isogroup891
comp892_c0_seq1	isogroup892
comp893_c0_seq1	isogroup893
comp894_c0_seq2	isogroup894
comp895_c0_seq2	isogroup895
comp901_c0_seq1	isogroup901
comp902_c0_seq1	isogroup902
comp903_c0_seq1	isogroup903
comp906_c0_seq1	isogroup906
comp907_c0_seq1	isogroup907
comp908_c0_seq1	isogroup908
comp913_c0_seq1	isogroup913
comp920_c0_seq1	isogroup920
comp922_c0_seq1	isogroup922
comp923_c0_seq1	isogroup923
comp924_c0_seq1	isogroup924
comp929_c0_seq1	isogroup929
comp931_c0_seq1	isogroup931
comp935_c0_seq1	isogroup935
comp937_c0_seq1	isogroup937
comp938_c0_seq1	isogroup938
comp939_c0_seq1	isogroup939
comp941_c0_seq1	isogroup941
comp944_c0_seq1	isogroup944
comp945_c0_seq1	isogroup945
comp949_c0_seq1	isogroup949
comp950_c0_seq1	isogroup950
comp952_c0_seq1	isogroup952
comp953_c0_seq1	isogroup953
comp954_c0_seq1	isogroup954
comp955_c0_seq1	isogroup955
comp957_c0_seq1	isogroup957
comp959_c0_seq1	isogroup959
comp962_c0_seq1	isogroup962
comp968_c0_seq1	isogroup968
comp969_c0_seq1	isogroup969
comp971_c0_seq1	isogroup971
comp973_c0_seq1	isogroup973
comp976_c0_seq1	isogroup976
comp977_c0_seq1	isogroup977
comp981_c0_seq1	isogroup981
comp984_c0_seq1	isogroup984
comp985_c0_seq2	isogroup985
comp988_c0_seq1	isogroup988
comp991_c0_seq1	isogroup991
comp993_c0_seq1	isogroup993
comp994_c0_seq1	isogroup994
comp998_c0_seq1	isogroup998
comp1000_c0_seq1	isogroup1000
comp1001_c0_seq1	isogroup1001
comp1002_c0_seq1	isogroup1002
comp1004_c0_seq1	isogroup1004
comp1005_c0_seq1	isogroup1005
comp1007_c0_seq1	isogroup1007
comp1010_c0_seq1	isogroup1010
comp1011_c0_seq1	isogroup1011
comp1013_c0_seq1	isogroup1013
comp1015_c0_seq1	isogroup1015
comp1016_c0_seq1	isogroup1016
comp1017_c0_seq1	isogroup1017
comp1022_c0_seq1	isogroup1022
comp1024_c0_seq2	isogroup1024
comp1025_c0_seq1	isogroup1025
comp1026_c0_seq1	isogroup1026
comp1027_c0_seq1	isogroup1027
comp1029_c0_seq1	isogroup1029
comp1030_c0_seq1	isogroup1030
comp1034_c0_seq1	isogroup1034
comp1036_c0_seq1	isogroup1036
comp1037_c0_seq1	isogroup1037
comp1040_c0_seq1	isogroup1040
comp1041_c0_seq1	isogroup1041
comp1048_c0_seq1	isogroup1048
comp1050_c0_seq1	isogroup1050
comp1052_c0_seq1	isogroup1052
comp1053_c0_seq2	isogroup1053
